Team code,Unprotected File List,What is the theme of your experiment?
codaeter,main.pi.zip (8 Kb.): https://www.tfaforms.com/uploads/get/e18b50cb09c7bc12789bca62a57da3e6-main.pi.zip/212937/40721c4ff7016df972007b152c3788a8,Life on Earth
teamkvadda,Astro-pi-kvadda-master (2).zip (9 Kb.): https://www.tfaforms.com/uploads/get/8157de125091eb5be0608f554fbe3fd2-Astro-pi-kvadda-master2.zip/212937/d75c3fb30caa6a5393ec63e60201e0c3,Life on Earth
procyon,main.zip (0 Kb.): https://www.tfaforms.com/uploads/get/b97f81ba1f4e106ac11a5b8284b661ae-main.zip/212937/aed760a8b43a706fa203db6ee991a4b2,Life on Earth
teamgiupiter,teamgiupiter.zip (3 Kb.): https://www.tfaforms.com/uploads/get/7b30327e03207753668e86017cd8d8e9-teamgiupiter.zip/212937/ea22d0ad2f1baf1fd135b9c6b3830045,Life in Space
entropi,entro_pi.zip (4 Kb.): https://www.tfaforms.com/uploads/get/8a0c997d37b32c3ba983d748b2290a63-entro_pi.zip/212937/8c1dfcaddcfef0f8768afee183298ac1,Life in Space
ottospace,ottospace.zip (1 Kb.): https://www.tfaforms.com/uploads/get/97836fa6c75bbcc110a2ab6221368a2c-ottospace.zip/212937/f0bf361d829c9ccd34dfa1d81e88edea,Life on Earth
lolucaber,lolucaber.zip (2 Kb.): https://www.tfaforms.com/uploads/get/5c7812650a42c881ab2abb52af30e8ee-lolucaber.zip/212937/4104701d207de159beef783ba498274e,Life on Earth
algeadetectors,main.zip (1 Kb.): https://www.tfaforms.com/uploads/get/7c852cc95a0893e44b858fc3cd4b55b8-main.zip/212937/8299944ebfd6641858ad148857359e05,Life on Earth
saturnoteam,saturnoteam.zip (3 Kb.): https://www.tfaforms.com/uploads/get/85f19fd70e9a47afc7443174e97cc244-saturnoteam.zip/212937/c09f656b7289f48b2f24a0f2408bc934,Life in Space
pollutioncops,main.zip (1 Kb.): https://www.tfaforms.com/uploads/get/d7156e38fb2a678627e6f53eda1e3f60-main.zip/212937/cf3af6576054ddf9cfcb78428baa655b,Life on Earth
astron,main.zip (1 Kb.): https://www.tfaforms.com/uploads/get/a98a49ff82a8c6e767c9c7d8c47a64e2-main.zip/212937/ddaaed5cfef0f30d5fcd6afac774ab97,Life on Earth
electroastronauts,main.zip (2 Kb.): https://www.tfaforms.com/uploads/get/58cc8c90354b1eded80a6fb5b88f02f5-main.zip/212937/fee4044e4c674796914e7760abae2b2f,Life in Space
teamrocket,TeamRocket.zip (2 Kb.): https://www.tfaforms.com/uploads/get/acbf77e00aa860d90f2ce91b58caa73e-TeamRocket.zip/212937/35447dfde229e8f194382ab79cc6b8d9,Life in Space
liceusat,main.zip (1 Kb.): https://www.tfaforms.com/uploads/get/8ae1dfa304949c2998fec10f40dbd20f-main.zip/212937/ab0c06f4183ee1124577695898688454,Life in Space
easypeasycoding,easypeasycoding_main.zip (2 Kb.): https://www.tfaforms.com/uploads/get/098891adde27ffb192b5bfd04c0e080f-easypeasycoding_main.zip/212937/5e68593b7947f5396b6d45722a89618a,Life on Earth
uranoteam,uranoteam.zip (3 Kb.): https://www.tfaforms.com/uploads/get/db2e58daf72abd3be11ca7796adec0d7-uranoteam.zip/212937/c6bee292941283cf8f4a978be927f06e,Life on Earth
luenevision,main.zip (2 Kb.): https://www.tfaforms.com/uploads/get/097d06937dce778305523ce8d356d1ce-main.zip/212937/8522dbd3ee75887a5f608d2ce0147b13,Life on Earth
pmalaju,main.zip (3 Kb.): https://www.tfaforms.com/uploads/get/4587a0548b8e8b1eec711ecfee6dd118-main.zip/212937/88944a952630bb62247799a8ef2c488a,Life in Space
